#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip
far, video, warn, encourage, ample, thing, good, mean, challenging, people, go, make, pretty, experience, can, staff, get, restaurant, time, big, delicious, friendly, right, definitely, nice, price, curtis, come, have, drink, place, look, table, person, bar, small, use, music, maybe, selection, week, live, casino, perfectly, space, return, bartender, great, ask, beer, list, report, reasonable, vega, stay, sport, valley, loud, dining, martini, service, dirty, allow, pitcher, comfortable, chicken, damn, local, bottle, new, cost, business, happy, parking, hit, recommend, las, remember, conversation, water, sing, highly, escalade, possible, speak, outside, machine, wrong, hand, dump, shop, patio, offer, vibe, dish, thai, regular, base, photo, dessert

#45
enchilada, gaming, competent, mex, thinly, tripe, tendon, tex, good, cantina, service, food, great, dinner, place, visit, sauce, sure, eat, bit, bad, menu, try, delicious, love, like, little, go, people, way, add, leave, get, come, small, hear, check, review, flavor, meat, beef, tortilla, order, nice, yes, shred, think, say, selection, offer, basket, salsa, want, cilantro, sweet, decor, perfectly, free, work, family, pittsburgh, friendly, bean, simple, quickly, alcohol, put, sandwich, plantain, definitely, terribly, taco, option, cook, soup, necessary, base, impression, open, yummy, pho, wo, portion, size, efficient, dark, burger, atmosphere, vegas, fried, disappointed, disappoint, today, vietnamese, corn, meld, mention, wide, lo, possible

#46
lack, decent, euro, unsweetened, leadership, service, thing, epitome, astounding, delicious, accountability, montana, worth, work, inefficiency, oliveo, food, tell, come, meltingly, make, add, think, little, flavor, order, time, good, chicken, busy, like, serve, sauce, drink, warm, know, bit, place, way, hour, halle, take, parmesan, perfectly, meal, person, nice, cook, grill, price, check, fry, crisp, man, der, pasta, terrible, pita, head, taste, yes, hard, bread, günstige, friendly, burger, und, late, different, try, money, deal, concert, wir, die, maybe, auf, mit, sandwich, min, friend, wow, tiramisu, bei, room, enjoy, excuse, fix, big, nicht, hot, recommend, für, das, break, zu, ratio, interior, special, caesar

#47
shirt, t, diva, f, competitor, kindness, way, decent, love, good, place, day, great, visit, right, misery, go, pretty, time, bit, look, worth, away, want, come, lot, overall, like, have, amazing, bar, people, price, spend, definitely, food, entire, reason, new, end, fun, eat, staff, plus, spot, guy, fantastic, door, experience, customer, local, casual, service, wrong, realize, completely, say, hour, family, near, quickly, open, option, clean, standard, beautiful, jukebox, order, live, shop, welcome, vegas, watch, wonderful, bash, meat, point, absolutely, different, return, dry, make, complain, try, study, can, drive, need, crispy, salad, pastry, thing, venetian, tortilla, ask, coffee, world, ok, cup, glad

#48
security, joe, benefit, human, nature, pond, ribbon, magnificent, apprehensive, mead, grotto, parkway, way, open, walk, time, right, overall, nice, little, rapid, away, people, go, call, day, need, good, price, experience, look, end, run, come, tell, turn, drink, like, point, stop, take, inside, guy, floor, stay, spend, bar, vegas, location, able, man, enjoy, leave, later, review, short, water, buy, fun, spot, rest, house, think, mind, town, plan, card, near, star, start, line, easy, bad, las, job, saturday, space, tropicana, club, lake, ask, quickly, parking, easily, landscape, amazing, show, month, watch, friend, great, prevent, unlike, credit, park, monday, high, pass, river, outside

#49
picture, story, platter, long, brûlée, start, end, look, try, big, tell, saffron, defeat, want, go, short, think, time, come, amazing, right, good, say, day, occupancy, like, enjoy, thing, little, week, need, love, great, food, delicious, people, work, know, ether, definitely, place, dinner, pay, have, drink, staff, call, oh, perfect, feel, new, wish, night, meal, hard, service, room, star, return, lot, sign, happen, away, minute, surprise, wow, husband, step, show, point, combo, dress, stick, friendly, review, cream, omg, ask, ice, office, deal, wait, bar, quick, actually, date, cold, christmas, industry, business, remove, manager, steakhouse, move, table, charge, baby, corner, store, girl

#50
south, mountain, file, boast, moderate, loop, hiking, sunshine, glitter, year, end, grasp, baseline, yang, repaint, beverly, enjoy, hour, pretty, experience, mormon, lot, day, actually, sure, go, think, like, can, right, yin, trailhead, get, big, look, stop, thing, long, yinzer, choose, let, need, outdoorsy, take, nice, time, huge, good, turn, place, want, love, far, wait, great, leave, new, use, check, high, table, menu, walk, staff, hard, come, trail, decide, offer, busy, definitely, hot, area, person, able, especially, meal, bar, quality, super, easy, ask, street, usually, minute, parking, fill, range, sit, level, hike, phoenix, job, camelback, night, move, exist, despite, half, yelp

#51
lobby, noise, complimentary, suspect, curtain, active, income, open, pretty, clean, like, day, little, different, work, styling, need, lot, bad, cubby, feel, huge, thing, go, think, make, time, start, scandinavian, people, free, restaurant, right, enjoy, probably, place, want, big, pay, hour, small, good, try, stay, look, recommend, wifi, experience, room, have, new, get, great, high, large, deal, bar, plus, come, sleep, take, hotel, maybe, point, choice, door, area, business, breakfast, friend, location, light, food, loud, surprise, fresh, dinner, opt, beef, order, drawer, wide, service, floor, overall, street, way, low, kinda, negative, statement, decor, list, shop, outside, lucky, locate, live, quiet, menu

#52
garbage, ipad, canned, vending, woohoo, spendy, dale, territory, discipline, need, sanitize, place, bad, little, get, good, drink, expect, bring, bit, leave, think, way, kind, mean, food, right, thing, come, table, visit, time, stuff, pretty, seat, sauce, eat, probably, notice, play, want, treat, happy, glass, kid, awesome, absolutely, extra, counter, friend, duty, machine, run, wo, layer, loud, order, home, typical, mention, breakfast, customer, shop, free, try, world, take, fact, underneath, crowd, love, wait, pm, outside, store, hour, people, grab, music, area, list, small, sweet, dish, spend, service, refer, decent, owner, oh, cheese, high, seriously, worth, sunday, bob, bike, give, wall, stay

#53
repair, warranty, carlos, service, work, revolve, format, know, look, front, douche, excellence, good, year, day, week, want, experience, hour, fuddruckers, come, feel, like, time, wait, review, little, try, mckoy, thing, overall, walk, place, pretty, betray, quality, able, person, get, sit, away, money, start, new, immediately, kind, later, hope, receive, eat, guy, awesome, maintain, plan, pleasure, wo, fine, vary, large, feeling, print, move, minute, server, tell, ask, care, fact, surprise, food, compete, favorite, check, joke, desk, thank, restaurant, save, word, can, god, real, witness, mencia, menu, thoroughly, sour, equipment, official, arise, leave, bbq, wrong, end, joint, doctor, local, enjoy, town, area

#54
real, face, know, franchise, big, right, come, bad, get, clean, place, home, try, give, friendly, worth, food, eat, probably, people, way, long, love, time, little, great, definitely, especially, fresh, delicious, add, pay, location, bun, hard, smile, star, welcome, review, meat, extra, manager, pick, talk, thank, house, room, gross, outside, black, burger, goodness, night, team, hair, casino, read, stay, set, satff, unwrap, gambling, mayo, possible, comfortable, pool, basketball, scared, tv, behavior, town, parking, swimming, true, bugs, crack, vegas, bitch, tournament, moan, zero, nicer, diva, idiotic, hamdulila, cuite, pickier, coif, artiste, picka, redkins, mazatlan, basalmic, asymmetry, taramisu, cescon, aand, definalty, teardown, definataly

#55
vegas, las, visit, time, come, try, place, nyc, experience, great, adjustment, enjoy, like, carefully, food, take, especially, readily, pressed, drink, feel, anticipation, sit, ask, far, call, customer, quality, new, entire, spot, care, taste, live, frequent, move, local, city, sample, village, available, option, bench, warm, pineapple, healthy, juice, life, recently, foods, measure, surprised, pleasantly, ingredient, chef, weekend, modern, attention, craft, smoothie, difficult, york, believe, design, settle, nv, perfectly, suggest, struggle, process, build, jungle, cold, step, needless, basalmic, teardown, pickier, ramma, asymmetry, holdover, nicolette, foodborne, luche, brandie, skyrocketing, carle, dippa, spammed, advisability, picka, massago, hamdulila, taisting, unpredictability, spadoni, magnifier, mazatlan, gua, aquired

#56
book, standard, udon, expect, good, need, time, restaurant, service, busy, favorite, food, great, try, quality, wait, meal, star, black, noodle, beef, vegas, seat, rice, soup, lose, pepper, chinese, sport, sign, bean, tea, charge, venetian, waiter, spotty, attention, rock, gem, cocktail, laugh, dicks, hide, awesome, handroll, sasa, sushi, hand, totter, bouse, tonopah, aand, quartzsite, ayyam, ifier, chalant, garnitures, bombé, croustillantes, staffers, eq, correlation, herbally, mumus, dissappered, soufflet, dippa, laing, schrewd, bates, narai, proche, clobber, kalologie, interrior, cescon, taramisu, teardown, shet, trival, fatouche, arounds, setiing, coif, modifier, whaaaaa, pocketsizedelle, teaspresso, pannini, aquired, artiste, depthness, cuite, loveeeeeee, pickier, clubber, definalty, optimize, dizaines, corodisone

#57
split, chop, friend, mega, delicious, come, definitely, eat, enjoy, thing, good, want, love, order, visit, headboard, get, actually, experience, nice, recommend, restaurant, meal, fiamma, right, go, feel, sit, service, food, place, week, ooo, amazing, bad, think, check, time, take, lamb, probably, like, clean, see, busy, away, long, leave, salad, look, plate, flavor, oh, short, ask, highly, year, excellent, point, happy, awesome, use, decor, group, taste, perfect, vegas, beautiful, tender, fantastic, extend, rib, dish, ravioli, extremely, set, room, tip, rich, ankle, glad, vibe, area, sized, staff, name, hungry, care, breakfast, terrible, begin, cheap, hope, furniture, pasta, wonder, caesar, handle, return, progress

#58
usual, negative, rain, underneath, mellow, ruben, forgot, review, racist, sit, expect, long, couple, people, come, awning, nice, clean, actually, place, food, time, want, go, service, good, especially, call, belagio, great, recommend, restaurant, say, night, star, point, order, wait, highly, return, outside, course, terrible, ask, take, atmosphere, mushroom, extremely, write, watch, establishment, stand, trip, fountain, patio, wonderful, wine, excellent, lady, disappoint, date, grotesquely, yes, chicken, waiter, steak, bread, outstanding, ready, honest, item, hanger, phone, pickup, accord, impress, asymmetry, griffen, ifier, gua, taisting, advisability, spammed, carle, holdover, unpredictability, coif, basalmic, mazatlan, hamdulila, picka, nill, garnitures, dippa, pickier, massago, brandie, unprofessionial, ramma, tremper

#59
meatball, risotto, unhappy, noodles, doughy, spicier, order, want, expect, good, sienna, optimal, brownish, cruddy, price, overall, service, restaurant, end, place, definitely, get, eat, serve, come, food, know, meal, leave, small, right, like, lot, big, delicious, large, sure, stop, experience, visit, can, happy, close, think, ask, tasty, hour, bring, call, offer, dish, time, floor, bowl, turn, return, beef, share, reasonable, hot, point, take, go, lunch, pork, see, soup, frequent, special, spot, need, ball, raise, day, notice, sundays, parking, later, throw, mushroom, typical, vegetables, combo, unique, arrive, past, black, low, deal, minute, little, snack, excellent, thing, compact, second, mild, half, serving, board

#60
traditional, weather, lo, phx, smash, enjoy, british, burrata, cibo, restaurant, definitely, refine, try, good, sit, expect, serve, nice, different, like, visit, time, sure, day, menu, come, finally, amazing, food, go, feel, dinner, thing, place, love, decent, think, close, know, order, add, price, experience, service, chicken, taste, small, review, leave, offer, new, excellent, say, outside, strip, great, far, buy, cool, creamy, saturday, seat, check, live, plate, word, get, point, oil, usual, pay, immediately, music, mind, waitress, rice, red, business, meat, trendy, fry, um, weekend, overdone, appetizer, olive, beer, pretty, convenient, standard, let, read, interesting, pull, turn, toast, late, bone, high, shop
